Nevsehir,cami,Çiçekli Cami,4.9,18,
Nevsehir,area,Kapadokya Balon,4.6,27,"38.643887,34.8288314"
Nevsehir,eczane,ALTINSOY ECZANESİ,3.5,11,"38.358557,34.0413659"
Nevsehir,eczane,Eflatun Eczanesi,5.0,38,"38.3723978,34.0283759"
Nevsehir,eczane,ECZANE AHMET KAMİL,5.0,50,"38.3774952,34.0055618"
Nevsehir,Lokanta,Kösem Döner,4.5,44,"38.6447908,34.8321496"
Nevsehir,cami,Aydınlı Cami,4.3,42,"38.6437376,34.8306378"
Nevsehir,area,Derinkuyu Yeraltı Şehri,4.6,45,"38.3734422,34.7351126"
Nevsehir,eczane,Eczane Ateş,4.0,20,"38.1744668,34.4857542"
Nevsehir,eczane,Derman Eczanesi,3.7,47,"38.353938,35.0879771"
Nevsehir,eczane,Yıldız malikanesi Eczanesi,4.0,28,"38.178316,34.490545"
Nevsehir,Lokanta,Ömer Babanın Yeri,4.5,34,"38.3752742,34.7327538"
Nevsehir,cami,Park Cami,4.5,32,"38.3704876,34.7345306"
Nevsehir,eczane,Salim Cami,4.2,31,"38.3772741,34.7416228"
Nevsehir,mall,Leyal,4.1,14,"38.644688,34.731945"
Nevsehir,mall,Dilek AVM,4.1,40,"38.713809,34.843878"
Nevsehir,mall,Bölükbaşı AVM,3.9,23,"38.6292546,34.7274041"
Nevsehir,mall,Nissara AVM,3.9,40,"38.6246719,34.7156669"
Nevsehir,mall,Forum Kapadokya,4.1,33,"38.6357366,34.708529"
Nevsehir,eczane,Ürgüp Devlet Hastanesi,3.7,30,"38.6488678,34.9199068"
Nevsehir,eczane,Özel Versa Hastanesi,4.7,20,"38.6308692,34.738017"
Nevsehir,eczane,Özel Kapadokya Hastanesi,3.7,13,"38.6448833,34.7331417"
Nevsehir,eczane,Avanos Ilçe Entegre Hastanesi,3.8,49,"38.7121155,34.8452532"
Nevsehir,eczane,Gulsehir Integrated District Hospital(acil servis),4.3,39,"38.7483963,34.6206801"
