Mersin,eczane,Doğa Eczanesi,4.7,19,"36.785626,34.592371"
Mersin,eczane,Silahtaroğlu Eczanesi,3.9,31,"36.7854626,34.5931226"
Mersin,eczane,Erkan Eczanesi,5.0,18,"36.785993,34.593372"
Mersin,Lokanta,Tavuk Dünyası Mersin Forum Avm,3.7,31,"36.7842,34.5892"
Mersin,Lokanta,Popeyes,3.2,35,"36.7853375,34.5887019"
Mersin,Lokanta,Mığçıoğlu Ocakbaşı,4.5,25,"36.7856479,34.5947651"
Mersin,Lokanta,Harbiye Et Lokantası,1.9,41,"36.7852714,34.5879638"
Mersin,cami,Aliye Pozcu Cami,4.4,49,"36.784721,34.594249"
Mersin,cami,Molla Cami,4.6,15,"36.78314,34.5768019"
Mersin,cami,Himmet Koçak Cami,4.4,14,"36.779562,34.5823222"
Mersin,area,SOLİ CENTER AVM,3.8,10,"36.7364682,34.5158271"
Mersin,eczane,Ozan Eczanesi,3.0,38,"36.7387499,34.5159645"
Mersin,eczane,YÜKSEL ECZANE,4.2,42,"36.7375036,34.5117232"
Mersin,eczane,Mavi Eczane,4.3,28,"36.7332656,34.514203"
Mersin,Lokanta,مطعم فلسطين filistin lokanta,5.0,13,"36.738248,34.5198464"
Mersin,Lokanta,Dinçer Tantuni Döner Salonu,4.2,36,"36.7356023,34.5130893"
Mersin,Lokanta,Zınar Ocakbaşı 7 24,4.6,10,"36.7348583,34.5155106"
Mersin,Lokanta,MEZİTALYA Makarna Pizza,4.8,42,"36.7390096,34.5160985"
Mersin,cami,Konuş Camii,4.7,29,"36.7356811,34.508289"
Mersin,cami,Teşvikiye Cami,4.5,21,"36.734528,34.5158701"
Mersin,cami,Bakanlik Caddesi Camii,4.0,39,"36.7451518,34.5250362"
Mersin,area,Sayapark AVM,4.4,33,"36.7681133,34.5526644"
Mersin,eczane,CAN ECZANESİ,5.0,43,"36.7652402,34.5472771"
Mersin,eczane,Mineral Eczanesi,4.6,31,"36.7684037,34.5430153"
Mersin,eczane,Duru Eczanesi,5.0,49,"36.7647349,34.5489783"
Mersin,Lokanta,Hünkar sofrası kebabı lahmacun,4.5,13,"36.7712491,34.5569695"
Mersin,Lokanta,Öz Kardeşler lahmacun kebap pide salonu,4.4,13,"36.7654389,34.5459925"
Mersin,Lokanta,Pidemiz,3.0,23,"36.7680908,34.5535375"
Mersin,Lokanta,anadolu kebap lahmacun pide salonu,4.4,41,"36.7694179,34.5467589"
